user_id,age,gender,location,income_level,education_level,number_of_children,child_age,investment_amount,investment_frequency,investment_options,app_sessions,app_usage_duration,features_used,goals_created,investment_decision,interactions_with_experts,topics_discussed,feedback_rating
669294,21,Female,"Bangalore, India",Low,Graduate,2,17,40168,2,"['Mutual Funds', 'US ETFs', 'Mutual Funds']",15,51,"['Goal Setting', 'Goal Setting']",0,0,10,"['Risk Tolerance', 'Investment Options']",5
701558,22,Male,"Lucknow, India",Low,Undergraduate,3,3,26119,4,"['Digital Gold', 'US ETFs', 'Digital Gold']",7,16,"['Goal Setting', 'Goal Setting']",0,0,10,"['Financial Planning', 'Investment Options']",4
956544,54,Female,"Bhopal, India",Low,High School,0,0,42050,8,"['Mutual Funds', 'Digital Gold', 'Mutual Funds']",4,41,"['Expert Advice', 'Investment Tracking']",0,0,6,"['Financial Planning', 'Risk Tolerance']",4
516395,47,Female,"Vadodara, India",Low,Undergraduate,2,18,6827,9,"['US ETFs', 'US ETFs', 'US ETFs']",19,18,"['Expert Advice', 'Expert Advice']",0,0,3,"['Risk Tolerance', 'Risk Tolerance']",4
592896,49,Female,"Thane, India",Medium,Graduate,3,11,17932,6,"['Digital Gold', 'Digital Gold', 'Mutual Funds']",8,26,"['Investment Tracking', 'Investment Tracking']",0,1,3,"['Financial Planning', 'Financial Planning']",4
892086,59,Female,"Bhopal, India",Medium,Undergraduate,3,8,13072,7,"['Digital Gold', 'Digital Gold', 'Digital Gold']",4,2,"['Expert Advice', 'Investment Tracking']",0,1,5,"['Financial Planning', 'Risk Tolerance']",3
419829,59,Male,"Ahmedabad, India",High,Graduate,5,4,20130,10,"['Digital Gold', 'US ETFs', 'Mutual Funds']",28,40,"['Goal Setting', 'Investment Tracking']",0,1,0,"['Financial Planning', 'Risk Tolerance']",5
497211,57,Male,"Hyderabad, India",High,Undergraduate,0,0,45292,3,"['Mutual Funds', 'Mutual Funds', 'US ETFs']",26,12,"['Investment Tracking', 'Goal Setting']",0,1,4,"['Risk Tolerance', 'Financial Planning']",4
67000,31,Male,"Bhopal, India",Medium,Undergraduate,4,10,8394,2,"['US ETFs', 'Mutual Funds', 'US ETFs']",29,41,"['Goal Setting', 'Goal Setting']",0,0,10,"['Investment Options', 'Financial Planning']",4
763381,52,Male,"Thane, India",Medium,Graduate,5,7,4662,4,"['Mutual Funds', 'Digital Gold', 'Digital Gold']",27,44,"['Expert Advice', 'Investment Tracking']",0,0,10,"['Risk Tolerance', 'Financial Planning']",3
367714,33,Male,"Surat, India",Low,Undergraduate,5,13,36536,2,"['Digital Gold', 'US ETFs', 'US ETFs']",2,47,"['Investment Tracking', 'Expert Advice']",0,0,2,"['Financial Planning', 'Investment Options']",3
999250,49,Male,"Indore, India",Low,Undergraduate,3,4,14575,1,"['Mutual Funds', 'Mutual Funds', 'US ETFs']",9,12,"['Expert Advice', 'Investment Tracking']",0,1,3,"['Risk Tolerance', 'Risk Tolerance']",3
33445,58,Female,"Ahmedabad, India",Low,Graduate,0,0,36821,10,"['US ETFs', 'Digital Gold', 'US ETFs']",17,59,"['Investment Tracking', 'Goal Setting']",0,0,8,"['Risk Tolerance', 'Risk Tolerance']",5
734068,39,Female,"Vadodara, India",High,Graduate,3,14,16379,7,"['US ETFs', 'Digital Gold', 'Mutual Funds']",3,19,"['Goal Setting', 'Goal Setting']",1,1,1,"['Investment Options', 'Financial Planning']",5
250847,52,Female,"Chennai, India",High,Undergraduate,5,8,14598,5,"['US ETFs', 'US ETFs', 'US ETFs']",27,35,"['Goal Setting', 'Investment Tracking']",0,1,4,"['Investment Options', 'Investment Options']",5
598222,23,Male,"Patna, India",Medium,Undergraduate,2,9,44084,10,"['US ETFs', 'US ETFs', 'Mutual Funds']",28,47,"['Goal Setting', 'Investment Tracking']",0,1,5,"['Investment Options', 'Risk Tolerance']",3
514943,56,Female,"Patna, India",Medium,Graduate,0,0,2361,6,"['US ETFs', 'Mutual Funds', 'Mutual Funds']",26,1,"['Expert Advice', 'Goal Setting']",0,1,8,"['Investment Options', 'Financial Planning']",4
536233,27,Male,"Visakhapatnam, India",High,High School,5,1,14212,9,"['Digital Gold', 'US ETFs', 'Mutual Funds']",30,19,"['Investment Tracking', 'Expert Advice']",0,0,0,"['Financial Planning', 'Risk Tolerance']",5
811992,36,Female,"Visakhapatnam, India",Low,Undergraduate,2,9,38699,5,"['Digital Gold', 'Mutual Funds', 'Mutual Funds']",25,40,"['Goal Setting', 'Expert Advice']",0,0,5,"['Investment Options', 'Investment Options']",4
42961,37,Female,"Kolkata, India",Medium,High School,2,16,37713,1,"['US ETFs', 'US ETFs', 'Mutual Funds']",18,20,"['Expert Advice', 'Investment Tracking']",0,1,3,"['Investment Options', 'Investment Options']",4
153324,21,Female,"Jaipur, India",High,Graduate,0,0,13987,5,"['US ETFs', 'Mutual Funds', 'Digital Gold']",4,2,"['Expert Advice', 'Expert Advice']",1,1,3,"['Investment Options', 'Investment Options']",5
885211,42,Male,"Bhopal, India",Medium,Graduate,4,6,3397,1,"['US ETFs', 'US ETFs', 'US ETFs']",2,9,"['Expert Advice', 'Investment Tracking']",0,0,5,"['Risk Tolerance', 'Financial Planning']",5
120956,23,Male,"Visakhapatnam, India",Low,High School,2,7,12520,7,"['US ETFs', 'US ETFs', 'Digital Gold']",2,8,"['Goal Setting', 'Expert Advice']",0,0,4,"['Financial Planning', 'Financial Planning']",4
228738,45,Male,"Ahmedabad, India",Low,Graduate,0,0,26695,10,"['Mutual Funds', 'Digital Gold', 'Mutual Funds']",11,5,"['Investment Tracking', 'Goal Setting']",0,1,5,"['Financial Planning', 'Financial Planning']",3
807497,57,Male,"Thane, India",High,High School,3,17,16480,2,"['US ETFs', 'Mutual Funds', 'Digital Gold']",29,59,"['Investment Tracking', 'Expert Advice']",0,0,10,"['Risk Tolerance', 'Risk Tolerance']",3
514096,52,Female,"Ghaziabad, India",Medium,Graduate,1,6,33722,3,"['US ETFs', 'Mutual Funds', 'Digital Gold']",21,1,"['Goal Setting', 'Goal Setting']",0,0,2,"['Investment Options', 'Investment Options']",4
700175,54,Male,"Indore, India",High,Undergraduate,0,0,25391,9,"['US ETFs', 'Digital Gold', 'US ETFs']",14,1,"['Goal Setting', 'Goal Setting']",0,1,8,"['Financial Planning', 'Investment Options']",4
390719,51,Female,"Indore, India",Medium,Undergraduate,1,18,29945,6,"['Digital Gold', 'Mutual Funds', 'Mutual Funds']",20,18,"['Goal Setting', 'Expert Advice']",0,0,8,"['Investment Options', 'Investment Options']",4
624490,59,Female,"Visakhapatnam, India",Low,High School,3,3,40078,3,"['Digital Gold', 'US ETFs', 'Digital Gold']",17,12,"['Expert Advice', 'Goal Setting']",0,0,7,"['Risk Tolerance', 'Financial Planning']",4
810108,57,Female,"Ahmedabad, India",Medium,Graduate,1,17,12076,2,"['Digital Gold', 'Mutual Funds', 'Digital Gold']",8,5,"['Goal Setting', 'Investment Tracking']",0,1,4,"['Financial Planning', 'Risk Tolerance']",4
180350,27,Male,"Chennai, India",Medium,Graduate,2,8,9500,6,"['Mutual Funds', 'US ETFs', 'US ETFs']",20,56,"['Investment Tracking', 'Investment Tracking']",0,0,8,"['Investment Options', 'Investment Options']",3
731173,50,Male,"Visakhapatnam, India",Medium,Undergraduate,3,14,43409,10,"['US ETFs', 'US ETFs', 'Mutual Funds']",23,28,"['Goal Setting', 'Investment Tracking']",0,0,0,"['Financial Planning', 'Investment Options']",3
10507,45,Male,"Hyderabad, India",Medium,Graduate,1,9,9869,5,"['Mutual Funds', 'Mutual Funds', 'US ETFs']",1,40,"['Expert Advice', 'Expert Advice']",0,0,4,"['Financial Planning', 'Financial Planning']",5
531515,44,Male,"Delhi, India",Medium,Graduate,1,3,45501,6,"['US ETFs', 'Mutual Funds', 'Mutual Funds']",1,56,"['Expert Advice', 'Expert Advice']",0,0,3,"['Investment Options', 'Financial Planning']",4
593591,26,Male,"Chennai, India",High,Graduate,4,10,21893,7,"['Mutual Funds', 'Mutual Funds', 'Digital Gold']",17,36,"['Expert Advice', 'Goal Setting']",1,0,0,"['Financial Planning', 'Investment Options']",5
972606,54,Female,"Ghaziabad, India",Medium,Undergraduate,1,9,46974,9,"['Mutual Funds', 'US ETFs', 'Digital Gold']",2,28,"['Expert Advice', 'Goal Setting']",0,0,8,"['Investment Options', 'Investment Options']",4
143096,40,Male,"Patna, India",Medium,High School,4,6,41012,7,"['Mutual Funds', 'Mutual Funds', 'US ETFs']",3,25,"['Goal Setting', 'Investment Tracking']",0,1,1,"['Risk Tolerance', 'Investment Options']",5
419640,36,Female,"Surat, India",High,Undergraduate,5,6,28054,1,"['US ETFs', 'US ETFs', 'US ETFs']",6,25,"['Goal Setting', 'Investment Tracking']",1,0,5,"['Financial Planning', 'Investment Options']",5
711361,25,Male,"Jaipur, India",Medium,Graduate,0,0,40317,9,"['US ETFs', 'US ETFs', 'US ETFs']",7,22,"['Investment Tracking', 'Goal Setting']",0,0,1,"['Risk Tolerance', 'Risk Tolerance']",5
615200,58,Male,"Kolkata, India",Low,Graduate,2,13,41707,1,"['Mutual Funds', 'Mutual Funds', 'Digital Gold']",22,14,"['Investment Tracking', 'Expert Advice']",0,1,6,"['Financial Planning', 'Investment Options']",3
505244,46,Female,"Vadodara, India",Low,Undergraduate,4,4,34321,1,"['Mutual Funds', 'Mutual Funds', 'Mutual Funds']",14,34,"['Investment Tracking', 'Expert Advice']",0,0,9,"['Risk Tolerance', 'Risk Tolerance']",3
487092,36,Male,"Bhopal, India",High,Undergraduate,2,1,10278,1,"['Mutual Funds', 'Digital Gold', 'Digital Gold']",4,39,"['Expert Advice', 'Expert Advice']",1,1,9,"['Risk Tolerance', 'Risk Tolerance']",3
424543,36,Male,"Delhi, India",Medium,Undergraduate,3,8,22577,4,"['US ETFs', 'Mutual Funds', 'Mutual Funds']",15,18,"['Goal Setting', 'Expert Advice']",0,0,8,"['Risk Tolerance', 'Financial Planning']",4
226399,43,Male,"Kolkata, India",Low,High School,2,14,41488,9,"['US ETFs', 'Mutual Funds', 'Digital Gold']",21,34,"['Goal Setting', 'Goal Setting']",0,0,1,"['Risk Tolerance', 'Investment Options']",4
691628,57,Female,"Mumbai, India",High,Graduate,1,1,3736,6,"['Digital Gold', 'US ETFs', 'Mutual Funds']",15,28,"['Investment Tracking', 'Goal Setting']",0,1,8,"['Financial Planning', 'Investment Options']",3
539329,22,Female,"Vadodara, India",High,Graduate,1,5,10731,6,"['Digital Gold', 'Digital Gold', 'Digital Gold']",17,11,"['Investment Tracking', 'Expert Advice']",1,1,8,"['Risk Tolerance', 'Financial Planning']",3
872347,35,Male,"Bhopal, India",High,Undergraduate,0,0,1023,9,"['Digital Gold', 'US ETFs', 'US ETFs']",2,38,"['Goal Setting', 'Investment Tracking']",1,1,5,"['Risk Tolerance', 'Financial Planning']",3
502202,22,Female,"Thane, India",Low,High School,4,8,34171,3,"['Mutual Funds', 'Digital Gold', 'US ETFs']",3,16,"['Investment Tracking', 'Expert Advice']",0,0,6,"['Financial Planning', 'Financial Planning']",4
526815,55,Male,"Chennai, India",Low,Graduate,3,5,47925,4,"['Mutual Funds', 'Digital Gold', 'Mutual Funds']",18,6,"['Investment Tracking', 'Goal Setting']",0,0,8,"['Risk Tolerance', 'Investment Options']",3
866021,52,Male,"Jaipur, India",Low,Graduate,0,0,32682,8,"['Digital Gold', 'Digital Gold', 'Mutual Funds']",30,55,"['Expert Advice', 'Goal Setting']",0,1,0,"['Financial Planning', 'Investment Options']",4
175101,44,Female,"Surat, India",Low,Undergraduate,4,4,37388,6,"['Digital Gold', 'Digital Gold', 'Mutual Funds']",7,9,"['Investment Tracking', 'Investment Tracking']",0,0,6,"['Financial Planning', 'Risk Tolerance']",5
36006,36,Male,"Jaipur, India",High,Undergraduate,4,8,12966,10,"['Mutual Funds', 'US ETFs', 'US ETFs']",19,43,"['Investment Tracking', 'Expert Advice']",1,1,4,"['Financial Planning', 'Investment Options']",5
81619,24,Female,"Kanpur, India",Low,Undergraduate,5,11,13216,6,"['Digital Gold', 'US ETFs', 'Mutual Funds']",19,8,"['Expert Advice', 'Expert Advice']",0,1,6,"['Risk Tolerance', 'Financial Planning']",3
995367,58,Female,"Vadodara, India",High,Graduate,0,0,19673,1,"['Mutual Funds', 'Mutual Funds', 'US ETFs']",3,35,"['Expert Advice', 'Expert Advice']",0,0,10,"['Investment Options', 'Investment Options']",3
492924,26,Female,"Kanpur, India",High,High School,2,18,30252,2,"['Digital Gold', 'Mutual Funds', 'Mutual Funds']",25,43,"['Goal Setting', 'Investment Tracking']",0,0,5,"['Financial Planning', 'Financial Planning']",3
228790,50,Male,"Mumbai, India",High,High School,0,0,2387,1,"['US ETFs', 'Mutual Funds', 'Digital Gold']",21,54,"['Investment Tracking', 'Goal Setting']",0,1,9,"['Risk Tolerance', 'Investment Options']",4
707413,34,Male,"Ahmedabad, India",Low,High School,0,0,2602,2,"['Mutual Funds', 'Digital Gold', 'Digital Gold']",20,40,"['Expert Advice', 'Expert Advice']",0,0,5,"['Investment Options', 'Investment Options']",4
94895,53,Female,"Pune, India",Low,High School,5,18,26446,1,"['Mutual Funds', 'US ETFs', 'Digital Gold']",9,34,"['Expert Advice', 'Expert Advice']",0,0,9,"['Investment Options', 'Investment Options']",4
100705,41,Female,"Ahmedabad, India",Medium,High School,3,17,46122,1,"['Mutual Funds', 'US ETFs', 'Digital Gold']",10,3,"['Goal Setting', 'Expert Advice']",0,0,6,"['Financial Planning', 'Risk Tolerance']",4
923909,25,Male,"Patna, India",Low,High School,2,4,10127,4,"['Digital Gold', 'Mutual Funds', 'Digital Gold']",15,5,"['Investment Tracking', 'Investment Tracking']",0,1,5,"['Investment Options', 'Investment Options']",3
149745,42,Female,"Nagpur, India",High,Undergraduate,5,10,10604,3,"['US ETFs', 'US ETFs', 'Digital Gold']",17,12,"['Investment Tracking', 'Investment Tracking']",0,0,6,"['Investment Options', 'Investment Options']",3
477273,33,Male,"Lucknow, India",Low,High School,4,2,28209,9,"['Digital Gold', 'Digital Gold', 'Digital Gold']",11,10,"['Goal Setting', 'Expert Advice']",0,0,2,"['Risk Tolerance', 'Financial Planning']",5
337040,35,Female,"Hyderabad, India",High,High School,0,0,29643,10,"['Digital Gold', 'Digital Gold', 'Mutual Funds']",15,48,"['Expert Advice', 'Expert Advice']",0,0,4,"['Investment Options', 'Risk Tolerance']",5
265427,49,Female,"Bangalore, India",Low,Graduate,3,4,38223,3,"['US ETFs', 'Digital Gold', 'US ETFs']",19,44,"['Goal Setting', 'Goal Setting']",0,0,0,"['Risk Tolerance', 'Risk Tolerance']",4
951952,22,Male,"Jaipur, India",Medium,High School,4,4,20059,6,"['US ETFs', 'Digital Gold', 'Mutual Funds']",20,57,"['Investment Tracking', 'Investment Tracking']",0,0,7,"['Investment Options', 'Risk Tolerance']",4
44033,37,Female,"Nagpur, India",Medium,Graduate,5,10,2208,2,"['Digital Gold', 'Mutual Funds', 'US ETFs']",22,58,"['Investment Tracking', 'Expert Advice']",0,0,0,"['Risk Tolerance', 'Investment Options']",5
609429,46,Male,"Ahmedabad, India",Low,High School,4,10,20376,1,"['Mutual Funds', 'Digital Gold', 'Digital Gold']",22,58,"['Investment Tracking', 'Expert Advice']",0,0,7,"['Financial Planning', 'Risk Tolerance']",4
801471,28,Female,"Jaipur, India",Low,Undergraduate,0,0,21235,2,"['Digital Gold', 'Mutual Funds', 'Mutual Funds']",21,49,"['Expert Advice', 'Expert Advice']",0,0,8,"['Investment Options', 'Investment Options']",3
225206,29,Female,"Mumbai, India",High,Undergraduate,0,0,40401,6,"['Digital Gold', 'Mutual Funds', 'US ETFs']",22,29,"['Goal Setting', 'Goal Setting']",1,1,9,"['Financial Planning', 'Risk Tolerance']",5
610597,49,Male,"Patna, India",Low,Graduate,0,0,9801,5,"['Digital Gold', 'US ETFs', 'Mutual Funds']",5,10,"['Expert Advice', 'Investment Tracking']",0,1,2,"['Financial Planning', 'Investment Options']",5
235810,52,Female,"Patna, India",High,Graduate,3,3,4091,4,"['Digital Gold', 'US ETFs', 'Digital Gold']",24,5,"['Investment Tracking', 'Goal Setting']",0,1,6,"['Risk Tolerance', 'Financial Planning']",3
645307,29,Female,"Thane, India",Low,Graduate,5,11,6751,8,"['US ETFs', 'US ETFs', 'Mutual Funds']",12,12,"['Investment Tracking', 'Expert Advice']",0,1,8,"['Investment Options', 'Risk Tolerance']",5
214489,34,Male,"Surat, India",Low,Graduate,4,13,41465,2,"['US ETFs', 'Mutual Funds', 'Mutual Funds']",4,41,"['Goal Setting', 'Expert Advice']",0,0,5,"['Financial Planning', 'Investment Options']",4
750657,44,Female,"Pune, India",High,High School,3,9,23970,10,"['Mutual Funds', 'US ETFs', 'Digital Gold']",15,29,"['Expert Advice', 'Investment Tracking']",0,0,3,"['Financial Planning', 'Risk Tolerance']",3
102134,55,Male,"Ahmedabad, India",High,Graduate,2,14,8708,10,"['Mutual Funds', 'Mutual Funds', 'Mutual Funds']",18,18,"['Goal Setting', 'Goal Setting']",0,0,0,"['Risk Tolerance', 'Investment Options']",5
979159,33,Male,"Nagpur, India",Low,Undergraduate,1,6,13131,1,"['Digital Gold', 'US ETFs', 'US ETFs']",25,49,"['Expert Advice', 'Goal Setting']",0,0,10,"['Investment Options', 'Investment Options']",4
344940,52,Male,"Patna, India",Low,Graduate,3,10,46392,5,"['US ETFs', 'Digital Gold', 'Digital Gold']",21,7,"['Goal Setting', 'Investment Tracking']",0,0,1,"['Risk Tolerance', 'Risk Tolerance']",4
709296,41,Male,"Surat, India",Low,Undergraduate,3,18,20965,3,"['Digital Gold', 'Mutual Funds', 'US ETFs']",23,13,"['Investment Tracking', 'Expert Advice']",0,0,0,"['Financial Planning', 'Financial Planning']",5
283821,39,Male,"Kanpur, India",High,Undergraduate,3,13,19227,4,"['Mutual Funds', 'US ETFs', 'US ETFs']",28,37,"['Investment Tracking', 'Goal Setting']",1,1,6,"['Risk Tolerance', 'Investment Options']",5
713670,53,Male,"Thane, India",High,Undergraduate,3,5,21497,8,"['Mutual Funds', 'Mutual Funds', 'Digital Gold']",16,57,"['Investment Tracking', 'Expert Advice']",0,1,10,"['Financial Planning', 'Financial Planning']",3
177829,38,Male,"Thane, India",High,Undergraduate,0,0,20691,4,"['US ETFs', 'Mutual Funds', 'Digital Gold']",2,44,"['Expert Advice', 'Investment Tracking']",1,0,0,"['Investment Options', 'Investment Options']",4
256721,46,Female,"Hyderabad, India",High,Graduate,2,18,28254,10,"['US ETFs', 'US ETFs', 'Mutual Funds']",12,55,"['Goal Setting', 'Goal Setting']",0,1,0,"['Investment Options', 'Risk Tolerance']",4
339491,56,Female,"Ghaziabad, India",High,Undergraduate,3,9,32725,9,"['US ETFs', 'Mutual Funds', 'US ETFs']",3,60,"['Expert Advice', 'Investment Tracking']",0,1,6,"['Risk Tolerance', 'Financial Planning']",3
135495,39,Male,"Ahmedabad, India",Medium,High School,3,1,48768,5,"['Mutual Funds', 'Mutual Funds', 'Mutual Funds']",28,44,"['Investment Tracking', 'Expert Advice']",0,0,6,"['Risk Tolerance', 'Financial Planning']",4
132899,39,Male,"Ahmedabad, India",Medium,Undergraduate,3,8,32243,7,"['Digital Gold', 'Mutual Funds', 'US ETFs']",23,7,"['Investment Tracking', 'Expert Advice']",0,0,0,"['Risk Tolerance', 'Risk Tolerance']",3
650701,34,Female,"Pune, India",High,Graduate,5,2,28641,8,"['Digital Gold', 'Digital Gold', 'US ETFs']",25,40,"['Expert Advice', 'Expert Advice']",1,1,1,"['Financial Planning', 'Financial Planning']",5
332216,49,Female,"Chennai, India",Low,Undergraduate,2,13,22726,5,"['Mutual Funds', 'US ETFs', 'Digital Gold']",29,43,"['Goal Setting', 'Goal Setting']",0,1,2,"['Financial Planning', 'Financial Planning']",4
222136,29,Male,"Patna, India",Low,High School,5,6,11673,6,"['Mutual Funds', 'Digital Gold', 'US ETFs']",20,45,"['Expert Advice', 'Investment Tracking']",0,0,3,"['Investment Options', 'Financial Planning']",4
651916,30,Male,"Bangalore, India",High,Undergraduate,1,7,28287,9,"['US ETFs', 'Mutual Funds', 'US ETFs']",9,27,"['Goal Setting', 'Expert Advice']",1,1,1,"['Investment Options', 'Risk Tolerance']",5
984104,34,Female,"Kolkata, India",Low,Undergraduate,0,0,31291,4,"['Mutual Funds', 'US ETFs', 'Mutual Funds']",2,14,"['Goal Setting', 'Investment Tracking']",0,1,0,"['Financial Planning', 'Risk Tolerance']",4
24736,32,Female,"Ahmedabad, India",Low,High School,3,11,27055,5,"['Digital Gold', 'Mutual Funds', 'Mutual Funds']",1,12,"['Investment Tracking', 'Expert Advice']",0,0,2,"['Financial Planning', 'Investment Options']",5
118143,57,Male,"Delhi, India",High,High School,0,0,8689,7,"['Mutual Funds', 'Mutual Funds', 'Mutual Funds']",15,41,"['Goal Setting', 'Goal Setting']",0,1,2,"['Investment Options', 'Risk Tolerance']",3
607617,52,Male,"Lucknow, India",High,High School,1,3,5736,10,"['US ETFs', 'US ETFs', 'Digital Gold']",14,44,"['Expert Advice', 'Goal Setting']",0,0,6,"['Financial Planning', 'Financial Planning']",5
790879,35,Male,"Kolkata, India",High,High School,0,0,42380,5,"['Mutual Funds', 'Digital Gold', 'Mutual Funds']",2,53,"['Goal Setting', 'Expert Advice']",0,0,3,"['Investment Options', 'Financial Planning']",4
437276,37,Male,"Ahmedabad, India",High,Undergraduate,2,16,48388,10,"['Digital Gold', 'Digital Gold', 'US ETFs']",19,13,"['Investment Tracking', 'Goal Setting']",1,0,9,"['Risk Tolerance', 'Investment Options']",3
566467,34,Female,"Bangalore, India",High,Undergraduate,4,12,17817,8,"['Mutual Funds', 'Digital Gold', 'US ETFs']",4,38,"['Goal Setting', 'Goal Setting']",1,1,3,"['Investment Options', 'Financial Planning']",5
839732,56,Male,"Hyderabad, India",High,Graduate,2,6,36686,6,"['Mutual Funds', 'Mutual Funds', 'US ETFs']",26,50,"['Goal Setting', 'Expert Advice']",0,1,9,"['Financial Planning', 'Risk Tolerance']",4
802839,41,Male,"Kanpur, India",High,High School,2,14,9623,9,"['US ETFs', 'Mutual Funds', 'Mutual Funds']",22,36,"['Goal Setting', 'Investment Tracking']",0,0,9,"['Financial Planning', 'Financial Planning']",4
831846,48,Male,"Ghaziabad, India",Medium,High School,0,0,38787,4,"['Mutual Funds', 'US ETFs', 'Mutual Funds']",19,44,"['Goal Setting', 'Investment Tracking']",0,0,2,"['Risk Tolerance', 'Risk Tolerance']",4
469474,58,Female,"Kolkata, India",Medium,High School,1,17,32338,3,"['Digital Gold', 'Mutual Funds', 'US ETFs']",16,27,"['Expert Advice', 'Goal Setting']",0,0,10,"['Financial Planning', 'Investment Options']",5
908991,53,Female,"Vadodara, India",Medium,High School,3,5,6009,2,"['Mutual Funds', 'US ETFs', 'Mutual Funds']",18,20,"['Goal Setting', 'Investment Tracking']",0,0,7,"['Risk Tolerance', 'Financial Planning']",5
213490,41,Female,"Ahmedabad, India",High,High School,4,5,24553,4,"['Mutual Funds', 'Digital Gold', 'Mutual Funds']",1,15,"['Investment Tracking', 'Expert Advice']",0,0,1,"['Financial Planning', 'Financial Planning']",5
108509,31,Male,"Surat, India",High,High School,0,0,32700,9,"['Digital Gold', 'US ETFs', 'US ETFs']",14,42,"['Investment Tracking', 'Investment Tracking']",0,0,10,"['Financial Planning', 'Risk Tolerance']",5
161000,44,Female,"Hyderabad, India",Medium,Undergraduate,5,6,31280,2,"['US ETFs', 'Mutual Funds', 'US ETFs']",5,37,"['Expert Advice', 'Investment Tracking']",0,0,9,"['Investment Options', 'Investment Options']",5
143115,37,Female,"Indore, India",Medium,Undergraduate,1,10,35318,2,"['US ETFs', 'US ETFs', 'Digital Gold']",2,14,"['Investment Tracking', 'Investment Tracking']",0,0,5,"['Risk Tolerance', 'Financial Planning']",3
166424,50,Male,"Nagpur, India",Medium,Undergraduate,3,9,46686,10,"['Digital Gold', 'US ETFs', 'Digital Gold']",25,12,"['Expert Advice', 'Goal Setting']",0,0,9,"['Financial Planning', 'Financial Planning']",5
645366,40,Female,"Ghaziabad, India",Medium,High School,0,0,33965,4,"['US ETFs', 'US ETFs', 'Digital Gold']",17,54,"['Expert Advice', 'Investment Tracking']",0,0,9,"['Risk Tolerance', 'Financial Planning']",5
46875,27,Female,"Jaipur, India",High,Undergraduate,1,3,44837,2,"['Digital Gold', 'Mutual Funds', 'Digital Gold']",3,35,"['Investment Tracking', 'Investment Tracking']",1,0,9,"['Financial Planning', 'Investment Options']",4
968405,42,Female,"Bangalore, India",Low,Undergraduate,1,7,39429,4,"['Digital Gold', 'Mutual Funds', 'Digital Gold']",4,48,"['Investment Tracking', 'Investment Tracking']",0,0,4,"['Investment Options', 'Financial Planning']",3
670574,52,Male,"Vadodara, India",High,Graduate,5,4,44904,7,"['Mutual Funds', 'Mutual Funds', 'US ETFs']",18,7,"['Goal Setting', 'Goal Setting']",0,1,9,"['Financial Planning', 'Financial Planning']",3
